word,object,action,qualifier,structural,punctuation,alpha,numeric,alphanumeric,glyph,question,whitesapce,unknown,certainty,absoluteness,polarity,insult,formality,morality,hierarchy,scale,worth,plurality,necessity,temporality,quickness,nothingness,dynamism,continuity,artificiality,agency,abstractness,mysticism,affect,arousal,fear,hedonics,valence,mass,time,length,width,height,temperature,luminance,origin,destination,lateralism,verticality,precedence,dimensionality,containment,boundary,proximity,rotational,terrestrial,gaseousness,fluidity,ignition,safety,shelter,sustenance,gender,audibility,palatability,olfactibility,hue,saturation,color_value,transparency,strength,dexterity,intelligence,wisdom,constitution
may,1.5,2.0,1.5,1.5,0.0,2.0,0.0,0.0,0.0,2.5,0.0,0.5,0.5,1.5,0.0,0.0,0.5,0.0,0.8,0.8,0.0,1.2,0.5,0.5,0.0,0.2,0.5,0.5,-0.5,1.5,1.2,1.2,0.5,0.0,1.2,0.0,0.5,0.2,0.8,0.8,0.5,0.8,0.2,0.8,0.8,1.2,0.0,0.0,0.0,1.2,-0.5,0.8,1.5,0.2,0.5,1.2,0.8,0.2,0.5,0.8,0.0,0.0,1.2,0.8,0.5,0.0,0.0,0.0,0.8,0.5,1.5,1.2,1.2,0.5
maybe,1.5,1.5,2.5,1.5,0.5,0.5,0.0,0.0,0.5,1.5,0.0,1.5,0.0,1.5,0.0,0.0,-1.5,0.0,0.2,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,-1.5,-1.5,1.5,2.5,1.5,0.0,0.0,1.2,0.0,0.5,0.2,0.2,0.5,0.5,0.2,0.2,0.5,0.2,0.6,0.0,0.0,0.0,1.2,0.0,0.5,1.5,0.2,0.2,0.2,0.5,0.2,0.5,0.5,0.0,0.0,0.5,0.5,0.2,0.0,0.0,0.0,0.5,0.2,0.5,1.2,1.5,0.5
me,3.5,1.5,0.5,0.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,0.5,0.0,-1.5,0.0,0.2,0.5,-0.5,0.2,0.5,-0.5,0.0,0.2,-0.5,-0.5,-1.0,2.8,0.5,0.2,0.0,-0.5,0.8,0.5,0.0,0.2,0.1,0.5,0.2,0.2,0.2,0.5,0.2,0.5,-0.5,0.5,-0.5,0.5,0.5,0.2,0.5,0.0,0.5,0.2,0.5,0.2,-0.5,0.5,-0.5,-0.5,0.8,0.2,0.0,0.0,0.0,0.0,0.2,1.2,1.5,1.2,1.2,1.2
medical,2.8,0.5,3.5,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.8,-0.5,0.0,2.8,0.0,0.8,1.8,-0.5,0.2,2.8,-0.5,-0.5,0.2,-1.5,-1.5,1.8,1.2,2.5,0.2,-0.5,-0.5,0.8,-0.5,0.0,0.8,0.2,1.2,0.5,0.5,1.2,1.2,0.8,0.8,-0.5,-0.5,-0.5,2.8,-1.5,0.8,1.8,0.2,0.5,0.2,0.2,0.8,-0.5,1.8,0.5,-0.5,0.8,0.2,0.8,0.0,0.0,0.0,1.8,0.8,1.5,2.8,1.2,2.8
mee,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.8,-2.5,0.0,-0.5,-1.5,-3.5,0.0,0.0,0.0,-0.5,0.0,-0.5,-0.5,-0.5,0.0,-2.5,-2.5,-2.5,0.2,0.0,0.0,-0.5,-0.5,0.2,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.1,-2.5,0.0,0.2,0.0,0.0,0.2,0.0,0.0,-0.5,0.0,-0.5,-0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
members,3.5,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-1.5,1.5,-1.5,0.0,0.5,-0.5,1.2,1.5,-0.5,2.8,2.0,-1.0,-1.5,0.2,-1.5,-1.5,-1.5,1.5,0.8,0.0,-0.5,0.0,0.5,-0.5,-0.5,0.2,0.2,0.5,0.5,0.2,0.2,0.2,0.5,0.5,-1.0,-0.5,-1.5,2.5,-1.5,1.5,2.5,0.2,0.5,0.2,0.2,0.2,-0.5,1.5,-0.5,-0.5,0.8,0.2,0.0,0.0,0.0,0.0,0.2,1.5,0.5,1.2,0.8,1.5
men,3.5,0.5,2.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1.2,-1.5,-0.5,-1.5,-0.5,1.8,1.2,-1.5,2.5,-1.5,-1.5,-0.5,0.2,-1.5,-1.5,-1.5,2.5,0.8,0.2,-0.5,-1.5,1.2,-0.5,-1.5,0.5,0.1,0.8,0.5,0.5,0.2,0.5,0.8,0.8,-1.5,-0.5,-1.5,1.8,-1.5,1.2,1.8,0.2,1.2,0.2,0.2,0.2,-1.5,1.2,-0.5,-3.5,1.2,0.2,0.2,0.0,0.0,0.0,0.2,2.8,1.5,1.2,0.8,1.2
merely,0.5,1.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,-2.5,0.8,0.5,0.0,2.5,0.0,0.2,0.2,-2.5,0.2,0.2,-2.5,-2.5,0.5,-2.5,-2.5,-2.5,0.2,2.5,0.2,0.0,0.0,0.2,0.0,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.2,0.8,2.5,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,-1.5,0.2,0.2,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.2,0.2
might,2.5,2.5,2.5,1.5,0.0,0.5,0.0,0.0,0.0,1.5,0.0,1.5,0.5,1.5,2.5,0.0,0.5,0.5,1.8,1.8,2.5,1.5,1.5,-1.5,0.5,0.5,1.5,0.5,0.5,2.8,2.8,1.5,0.0,0.5,1.8,0.5,0.5,1.2,1.2,1.5,1.5,1.2,1.2,1.2,1.5,1.5,0.5,2.5,1.5,2.5,2.5,1.5,2.5,0.2,0.8,0.8,0.5,1.5,-1.5,1.5,0.5,-1.5,1.5,0.6,0.5,0.0,0.0,0.0,1.5,2.8,1.5,1.8,1.8,1.5
military,3.5,2.5,3.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-1.5,0.8,-2.0,0.0,2.8,-1.5,3.8,1.8,-2.0,1.8,2.8,-2.0,2.8,0.2,-2.5,-2.5,2.8,2.8,1.5,0.1,-0.5,-2.5,2.8,-0.5,-0.5,0.2,0.2,1.8,1.5,1.5,0.2,0.5,0.8,1.8,-1.5,-0.5,3.5,2.8,-2.0,2.8,2.8,0.5,0.5,0.2,0.2,0.2,-2.5,3.8,-0.8,-2.5,2.8,0.2,0.2,0.0,0.0,0.0,0.2,3.8,2.8,2.8,1.8,1.2
mind,3.5,2.8,2.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.0,0.0,0.5,0.0,1.2,2.8,0.0,0.5,0.2,0.0,0.0,0.2,0.5,0.5,0.0,3.8,3.8,2.8,0.0,0.0,2.8,0.0,0.0,0.2,0.2,1.5,1.5,0.8,0.2,1.2,0.8,1.2,0.0,0.0,0.0,2.8,0.5,1.8,2.8,0.2,0.2,0.8,0.8,0.2,0.0,0.8,0.0,0.0,1.2,0.8,0.8,0.0,0.0,0.0,1.8,1.2,1.8,3.8,3.8,1.8
mine,2.5,2.5,2.8,1.5,0.0,1.0,1.5,0.5,0.0,0.0,0.0,1.5,2.5,1.5,-2.0,0.5,0.5,0.0,0.8,1.5,2.5,1.5,2.5,-1.5,2.0,0.5,-2.5,-2.5,0.0,2.5,0.5,0.5,2.5,-2.5,2.5,2.5,-1.5,2.5,0.2,2.5,1.5,2.5,1.5,1.5,0.8,2.8,2.0,2.0,-2.0,1.5,2.0,2.5,2.5,0.2,3.8,0.5,1.5,2.5,-2.0,3.5,0.0,0.0,2.5,2.5,1.5,0.0,0.0,0.0,0.5,2.5,2.8,1.5,1.5,2.5
minus,1.5,2.5,3.8,0.5,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,-3.0,0.5,-3.0,-2.0,-2.5,-2.5,0.5,0.5,-3.0,0.0,-3.0,-3.0,-3.0,3.5,-3.5,-3.0,-2.5,0.0,0.5,0.0,-2.5,-2.5,2.5,-2.5,-2.5,0.0,0.2,0.5,0.5,0.0,0.0,0.0,0.5,0.2,-3.0,-3.0,-3.0,0.5,-3.0,3.5,0.5,0.0,0.5,0.0,0.0,0.0,-2.5,0.0,-2.5,-1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5
modern,2.5,0.5,3.5,0.8,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2,0.5,0.0,0.5,0.0,1.2,2.5,0.5,0.8,0.5,0.5,0.0,0.2,1.8,0.5,1.8,2.5,2.5,0.2,0.0,0.0,0.6,0.0,0.0,0.8,1.2,1.2,1.2,0.8,1.2,1.2,0.8,1.2,0.0,0.0,0.5,2.8,0.0,1.2,2.8,0.2,0.8,0.2,0.2,0.8,0.5,1.8,0.0,-0.5,1.2,0.8,0.5,0.0,0.0,0.0,1.8,1.2,1.8,2.8,1.8,1.8
moment,2.5,2.5,1.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.2,0.0,0.0,0.5,0.0,0.2,2.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,-2.0,-1.5,1.8,2.8,0.5,0.0,0.0,1.2,0.0,0.0,0.5,3.5,2.5,0.8,0.8,0.8,0.5,1.8,2.5,0.0,0.0,0.0,2.8,0.0,1.5,2.8,2.8,0.2,0.5,0.5,0.5,-0.5,0.5,0.0,0.0,1.2,0.2,0.2,0.0,0.0,0.0,0.8,2.5,2.5,1.2,2.5,1.2
money,3.8,0.0,2.8,0.0,0.0,0.5,2.8,0.5,0.0,0.0,0.0,0.0,-1.5,1.2,2.8,-1.5,0.5,-1.5,1.2,2.8,3.5,1.2,2.8,-1.5,-0.5,0.2,-2.5,-2.5,2.8,0.5,1.2,0.1,-1.5,-1.5,1.2,-1.5,-1.5,0.5,0.2,1.2,0.5,0.5,0.2,0.5,0.8,0.5,-1.5,-1.5,-1.5,2.8,2.5,2.8,2.8,0.0,0.2,0.1,0.2,0.2,-1.5,0.8,-1.5,-1.5,0.5,0.2,0.0,0.0,0.0,0.0,0.2,1.2,0.0,1.2,0.5,1.2
more,2.5,3.0,3.5,0.8,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.5,3.5,1.5,3.5,3.5,1.5,2.5,1.5,2.5,3.5,3.5,4.0,3.5,4.0,0.2,3.5,3.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,2.8,3.5,1.5,1.5,2.5,1.5,1.5,1.5,2.5,0.8,2.5,2.5,2.8,3.5,2.5,2.5,0.8,2.5,0.2,1.5,1.5,0.5,2.5,2.8,1.5,2.8,2.5,2.8,2.5,2.5,0.0,0.0,0.0,1.5,1.5,2.5,2.5,1.5,2.5
most,2.8,2.5,3.5,2.8,0.0,2.8,1.5,0.0,0.0,0.0,0.0,0.5,3.8,3.5,2.8,-0.5,2.5,-0.5,2.8,2.5,2.8,2.8,3.5,-0.5,-0.5,0.5,-2.5,3.5,-1.5,2.8,2.5,1.5,-0.5,-0.5,1.5,-0.5,-0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.8,2.8,0.5,2.5,2.8,2.8,2.5,2.5,2.8,0.5,2.5,2.5,1.5,2.5,-0.5,2.5,-0.5,-0.5,2.5,2.5,2.5,0.0,0.0,0.0,2.5,1.5,2.5,2.8,2.8,2.5
moved,1.5,3.0,2.5,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.2,2.5,0.0,0.5,0.0,0.8,1.5,0.0,0.5,0.0,2.8,3.5,0.8,3.5,0.5,0.0,1.5,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.2,1.5,2.5,1.5,1.5,0.2,0.5,1.8,2.8,0.0,2.5,3.5,1.8,2.5,2.5,2.5,0.2,1.5,0.2,0.8,0.2,0.0,2.5,0.0,0.0,1.5,0.2,0.5,0.0,0.0,0.0,0.8,1.5,1.5,1.2,0.5,1.5
much,1.5,1.5,3.5,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.5,2.5,1.5,-0.5,-0.5,1.2,2.5,-0.5,2.5,2.5,-0.5,-1.5,0.2,-1.5,2.8,-0.5,1.5,0.5,0.2,-0.5,-0.5,1.5,-0.5,0.5,0.8,1.2,1.5,1.5,1.5,1.5,1.5,0.2,1.5,0.0,1.5,2.8,1.5,-1.5,0.8,2.5,0.0,0.5,0.5,0.5,1.5,-0.5,1.5,-0.5,-0.5,2.8,1.5,1.5,0.0,0.0,0.0,0.5,1.5,1.5,1.5,1.5,1.5
must,2.5,3.0,3.5,2.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,-3.5,3.5,-2.0,-2.0,-2.5,-2.5,2.8,1.5,-2.0,0.5,4.0,-2.0,-2.0,0.2,-2.5,-2.0,-1.5,2.8,1.5,0.5,-2.0,-2.0,2.5,-2.0,-1.5,0.5,0.8,1.5,1.5,1.5,0.5,1.5,1.5,2.5,-2.0,-2.0,-2.0,2.8,-2.0,3.5,2.5,0.0,0.5,0.2,0.5,0.5,-2.0,2.5,-2.0,-2.5,2.5,1.5,0.5,0.0,0.0,0.0,0.5,1.5,1.5,2.5,1.5,1.5
my,2.5,0.0,1.5,2.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.2,0.5,0.5,0.2,0.5,-0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.2,0.0,2.5,0.5,0.2,0.5,0.5,0.2,0.1,0.5,0.2,0.2,0.2,0.0,0.2,0.2,0.5,0.5,-0.5,0.2,1.0,0.2,0.5,0.0,0.2,0.1,0.2,0.0,-0.5,0.2,0.5,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
myn,2.5,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.5,-0.5,0.2,-0.5,-0.5,-2.5,-0.5,0.2,0.2,-0.5,0.2,-0.5,-1.5,-0.5,0.0,-1.5,-0.5,-1.5,0.5,0.0,0.5,-0.5,-0.5,0.2,-0.5,-0.5,0.0,0.1,0.2,0.2,0.2,0.0,0.0,0.2,0.2,-0.5,-0.5,-0.5,0.2,-2.5,0.2,0.5,0.0,0.2,0.0,0.2,0.0,-0.5,0.2,-0.5,-0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
myne,3.5,0.5,2.5,0.5,0.0,2.5,0.0,0.5,0.5,0.0,0.0,2.8,-2.5,0.8,-2.0,-2.5,-2.5,-1.5,0.2,0.8,-2.5,0.2,-2.5,-2.5,-2.5,0.2,-2.5,-2.5,-2.5,0.8,0.2,1.2,-2.5,-2.5,0.2,-2.5,-2.5,0.5,0.2,0.5,0.2,0.5,0.2,0.2,0.8,0.2,-2.0,-2.0,-2.5,0.8,-2.5,0.8,0.8,0.0,3.8,0.2,0.5,0.2,-2.5,2.5,-0.5,-2.5,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.2,0.0
myself,3.5,1.5,1.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.5,-0.5,0.0,-1.5,0.0,0.2,1.2,-0.5,0.2,-0.5,-0.5,-0.5,0.2,-0.5,-0.5,-1.5,3.8,0.8,0.2,0.0,0.0,0.5,0.0,0.0,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.8,0.2,-0.5,-0.5,-0.5,2.5,0.5,0.8,2.5,0.0,0.2,0.2,0.2,0.0,-0.5,0.2,-0.5,-0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.5,0.5,1.2,0.8,0.5
name,4.0,0.0,0.5,0.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.5,0.0,0.8,0.8,0.0,0.2,0.0,0.0,0.0,0.0,-1.5,0.0,-1.5,1.2,0.5,0.2,0.0,0.0,0.2,0.0,0.0,0.5,0.2,0.8,0.5,0.5,0.2,0.5,0.8,1.8,0.0,0.0,0.0,1.2,-1.5,0.8,0.8,0.2,0.5,0.2,0.2,0.2,0.0,0.5,0.0,-0.5,0.8,0.2,0.2,0.0,0.0,0.0,0.2,0.5,0.5,1.2,0.5,0.5
national,2.8,0.0,2.8,0.8,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.8,0.0,2.8,2.8,0.5,1.8,0.5,0.0,0.0,0.2,-2.5,-2.0,0.5,1.8,1.8,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.2,0.8,0.8,0.5,0.2,0.5,0.8,1.8,0.0,0.0,0.0,2.8,-2.0,3.5,2.8,0.2,0.8,0.2,0.2,0.2,0.5,2.8,0.0,-1.5,0.8,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.2,1.2,1.2
natural,3.5,0.5,3.5,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,0.5,0.5,0.5,0.2,2.5,0.5,0.8,0.5,0.0,0.0,0.2,0.5,0.5,-3.8,0.8,1.5,0.2,0.0,0.0,0.5,0.5,0.5,1.8,0.8,1.5,1.2,1.2,2.5,2.5,1.8,0.8,0.0,0.0,0.0,2.8,0.0,0.8,2.8,0.5,2.8,2.5,1.2,1.2,0.5,2.5,0.8,0.0,1.8,1.8,2.5,0.0,0.0,0.0,2.8,1.5,1.5,1.8,2.8,3.8
near,1.2,0.5,2.5,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.2,1.2,0.0,0.0,0.5,0.0,0.2,1.8,0.0,0.8,0.0,-2.5,-2.5,0.2,-2.5,-2.5,-1.5,0.2,0.8,0.2,0.0,0.0,0.8,0.0,0.0,0.2,1.2,2.5,2.5,0.8,0.2,1.2,0.2,2.5,2.5,0.0,-2.5,1.8,2.5,1.5,3.5,0.2,0.8,1.2,0.2,0.2,-0.5,1.2,0.0,0.0,1.2,0.2,1.2,0.0,0.0,0.0,1.5,0.5,1.5,1.2,1.2,1.2
nearest,2.5,2.8,3.5,2.8,0.0,2.8,0.0,0.5,0.0,0.0,0.0,1.5,2.5,2.5,2.5,1.5,1.5,0.5,1.2,2.5,2.5,1.2,2.5,2.5,2.5,1.5,-2.5,2.8,2.8,1.2,0.8,0.5,0.5,1.5,1.8,1.5,1.5,0.5,1.8,2.5,2.5,1.5,1.2,1.2,2.8,3.5,2.5,2.5,2.8,2.8,2.5,2.8,3.8,0.5,2.8,1.2,0.8,0.8,2.5,2.5,1.8,0.5,2.5,1.2,1.5,0.0,0.0,0.0,2.5,1.5,2.8,2.5,2.5,1.5
nearly,1.2,1.5,3.5,2.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.5,2.8,1.5,2.5,0.5,1.5,0.5,0.5,1.5,2.5,1.5,1.5,2.8,2.5,0.8,2.5,2.8,2.5,0.8,1.5,0.5,0.0,1.5,1.5,0.5,0.5,0.5,1.8,1.5,1.5,0.8,1.2,1.5,0.8,2.5,2.5,2.5,2.8,1.8,2.5,0.8,3.8,0.2,0.5,0.8,0.8,0.8,1.5,1.2,0.2,-0.5,1.5,0.8,0.8,0.0,0.0,0.0,2.5,0.5,1.5,1.5,1.5,1.2
necessary,2.5,1.5,3.5,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,3.5,2.5,-2.0,0.0,2.5,0.5,1.5,1.5,3.5,0.2,4.0,-2.0,-1.5,0.2,-2.0,-2.0,1.5,1.5,2.5,0.2,0.0,0.0,1.2,0.0,0.0,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.8,2.5,-1.5,0.5,2.5,2.8,2.5,2.5,2.5,0.2,0.5,0.2,0.2,0.8,2.5,2.5,0.5,-0.5,1.5,0.2,0.2,0.0,0.0,0.0,0.8,1.5,1.5,2.5,1.5,2.5
need,2.5,2.0,2.5,1.5,0.0,1.5,0.5,0.0,0.0,1.5,0.0,1.5,-2.5,1.5,-2.5,-1.5,0.5,0.0,1.2,1.5,-2.5,0.5,3.5,-2.5,-2.0,0.5,-2.5,-2.5,-2.5,1.5,2.5,0.5,-2.0,-2.0,2.5,-2.5,-2.0,0.5,1.2,1.5,1.5,1.2,1.2,1.2,1.2,2.5,-2.0,-2.0,-2.0,2.5,-2.0,1.5,2.5,0.2,0.8,0.5,0.5,0.6,-2.5,2.5,-2.5,-1.5,1.5,1.2,1.2,0.0,0.0,0.0,1.2,1.5,1.5,1.5,1.2,1.5
needed,2.5,2.5,2.5,1.5,0.0,1.5,1.5,1.5,0.0,0.5,0.0,1.5,2.5,1.5,-2.0,0.0,0.5,0.0,1.2,1.5,2.5,1.5,3.5,-2.0,-2.0,0.5,-2.0,-2.0,1.5,1.5,1.5,0.2,0.0,-1.5,1.5,-1.5,-1.5,0.8,1.2,1.5,1.5,1.2,1.5,1.5,0.8,2.5,0.0,1.5,2.5,2.5,2.5,1.5,1.5,0.2,1.2,0.5,0.5,1.5,-1.5,2.5,2.5,-0.5,1.5,1.5,1.5,0.0,0.0,0.0,1.5,1.5,1.5,2.5,1.5,1.5
neither,2.5,0.5,2.5,2.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.5,-2.5,2.5,-2.5,-2.5,-2.5,0.0,0.5,0.5,-2.5,0.5,-2.5,-2.5,-2.5,2.5,-2.5,-2.5,-2.5,0.5,0.5,0.0,-2.5,-2.5,0.5,-2.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,-2.0,-2.0,-2.5,0.5,-2.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-2.5,0.0,-2.5,-0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5
nether,3.5,0.0,3.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,2.5,-2.5,3.5,-2.5,-1.5,-2.5,-2.5,0.2,2.8,-2.5,0.2,-2.5,-2.5,-2.5,2.8,-2.5,-2.5,-2.5,0.5,0.5,3.8,-2.5,-2.5,0.5,-2.5,-2.5,0.2,0.2,0.5,0.5,0.5,0.2,0.2,0.8,0.8,-2.5,-3.5,-2.5,3.8,-3.5,3.5,3.5,0.2,3.8,0.2,0.8,0.2,-2.5,2.8,-2.5,-2.5,0.2,0.2,0.0,0.0,0.0,0.0,2.8,0.5,0.0,0.2,0.2,0.5
never,2.5,3.5,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-3.5,3.5,-3.5,-2.5,-2.5,-2.5,0.2,0.2,-2.5,0.0,-3.5,-3.5,-2.5,0.5,-3.5,-3.5,-2.5,2.8,2.8,0.2,-3.5,-2.5,2.8,-2.5,-3.5,0.0,3.8,0.2,0.0,0.0,0.0,0.0,0.2,0.5,-2.0,-2.5,-2.5,0.5,-3.5,0.8,0.8,0.0,0.0,0.0,0.0,0.0,-3.5,0.0,-2.5,-2.5,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.5,0.5
new,2.5,1.5,2.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.2,2.5,0.0,0.5,0.0,0.2,1.2,2.5,0.2,1.0,3.5,2.0,0.2,2.5,2.5,1.5,1.2,1.5,0.2,0.0,0.0,0.5,0.0,0.0,0.2,0.2,1.5,0.8,1.2,0.5,0.8,0.8,1.5,2.0,0.5,2.8,1.5,2.5,1.2,1.5,0.2,0.5,0.2,0.5,0.2,0.0,1.2,0.0,0.0,1.2,0.6,0.5,0.0,0.0,0.0,0.6,0.5,1.2,1.2,0.5,0.5
next,1.5,2.0,1.5,2.5,0.0,0.5,0.0,0.0,0.0,2.5,0.0,1.5,-0.5,0.5,-0.5,0.0,0.0,0.0,0.0,1.5,-0.5,1.5,0.0,3.5,0.0,0.5,0.0,-1.5,0.0,1.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8,0.5,1.5,0.5,0.2,0.0,0.5,2.5,0.0,0.0,0.0,1.5,-1.5,1.5,1.5,0.2,0.2,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,1.5,1.5,0.5
night,2.8,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,0.8,-2.5,0.0,0.0,-1.5,0.2,2.8,-2.0,0.2,-1.5,-2.5,-2.5,0.8,-2.5,-2.5,-2.5,0.2,1.2,2.8,-1.5,-2.5,2.8,-2.5,-2.5,0.2,2.8,0.8,0.5,0.2,0.2,0.8,0.2,0.8,-2.0,-2.0,-2.5,2.8,-2.5,2.8,2.8,0.2,0.2,0.2,0.2,0.2,-2.5,2.8,-2.5,-1.5,2.8,0.2,0.2,0.0,0.0,0.0,2.8,0.5,0.5,0.2,1.2,0.8
no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,-1.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,-0.5,4.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,-1.0,-0.5,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nor,1.5,2.0,2.5,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-2.5,2.5,-2.0,-1.5,-2.5,-2.5,0.2,0.5,-2.0,0.5,-2.5,-2.5,-2.0,1.5,-2.5,-2.5,-2.5,0.5,0.5,0.5,-2.5,-2.5,0.5,-1.5,-1.5,0.2,0.2,0.5,0.5,0.2,0.2,0.5,0.5,0.5,-2.0,-2.0,-2.0,1.2,-2.5,1.5,1.5,0.0,0.5,0.5,0.5,0.2,-2.5,0.5,-1.5,-1.5,0.8,0.2,0.5,0.0,0.0,0.0,1.5,0.5,0.5,1.2,0.5,1.2
not,1.5,2.5,3.5,2.8,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.5,-3.5,2.5,-3.0,-2.5,-2.5,-2.5,0.2,0.5,-2.5,0.0,-3.5,-2.5,-2.5,0.8,-2.5,-2.5,-2.5,0.5,0.5,0.0,-2.5,-2.5,0.5,-2.5,-2.5,0.0,0.2,0.5,0.0,0.2,0.2,0.0,0.2,0.2,-2.0,-2.0,-2.5,0.5,-3.5,0.8,0.5,0.0,0.5,0.0,0.2,0.0,-2.5,0.0,-2.5,-1.5,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.5,0.0
nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-2.5,0.0,-2.0,0.0,-2.5,0.0,0.0,0.0,-2.0,0.0,-2.5,-4.0,-4.0,4.0,-2.5,-3.5,-4.0,0.0,0.0,0.0,-2.0,0.0,0.5,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
